==========As_Se=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
CuxSy   1.0    0.0879527   S      S8_ICSD_82372            False  None   0.08795                       
CuxSy   0.333  -0.1110458  Cu_S   Cu2S1_ICSD_16550         False  True   0.07038                       
CuxSy   0.357  -0.1098467  Cu_S   Cu9S5_ICSD_53331         False  True   0.08453                       
CuxSy   0.364  -0.1712156  Cu_S   Cu7S4_ICSD_16011         False  True   0.0267                        
CuxSy   0.5    -0.2481886  Cu_S   Cu1S1_ICSD_67581         False  True   0.00458                       
CuxSy   0.5    -0.2468865  Cu_S   Cu1S1_ICSD_63328         False  True   0.00589                       
CuxSy   0.667  -0.1695048  Cu_S   Cu1S2_ICSD_628781        False  False  0.00081                       
CuxSy   0.667  -0.1645473  Cu_S   Cu1S2_ICSD_628799        False  True   0.00577                       
CuxSy   0.5    -0.1647487  Cu_O   Cu1O1_ICSD_87126         False  False  0.08802                       
CuxSy   0.429  -0.1405147  As_S   As4S3_ICSD_16105         False  False  0.08721                       
CuxSy   0.6    -0.1409522  As_S   As2S3_ICSD_185819        False  False  0.06235                       
CuxSy   0.667  -0.072866   As_S   As1S2_ICSD_424590        False  False  0.09745                       
CuxSy   0.5    -0.1806488  P_S    P4S4_ICSD_1703           False  False  0.07212                       
CuxSy   0.333  -0.0860158  Ag_S   Ag2S1_ICSD_173999        False  False  0.09541                       
CuxSy   0.667  -0.1268064  Ti_S   S2Ti1_ICSD_174490        False  True   0.04351                       
CuxSy   0.333  -0.0949041  A_S    Cs2S1_ICSD_1030          False  True   0.08652                       
CuxSy   0.333  -0.0859556  A_S    O2S1_ICSD_24645          False  False  0.09547                       
CuxSy   0.471  -0.1802281  A_S    Co9S8_ICSD_23929         False  False  0.06223                       
CuxSy   0.5    -0.2401245  A_S    Be1S1_ICSD_183373        False  True   0.01265                       
CuxSy   0.5    -0.17049    A_S    Cr1S1_ICSD_16723         False  False  0.08228                       
CuxSy   0.6    -0.1052292  A_S    Mo2S3_ICSD_602115        False  False  0.09807                       
CuxSy   0.667  -0.1308604  A_S    Ba1S2_ICSD_2004          False  False  0.03946                       
==========Nb_S=========
System  Ratio  Ef          Source ICSD_ID                  ICSD   Aflow  Delta                         
NbxSy   1.0    0.0110513   S      S12_ICSD_26463           False  None   0.01105                       
NbxSy   1.0    0.0113654   S      S18_ICSD_15766           False  None   0.01137                       
NbxSy   1.0    0.0192949   S      S14_ICSD_408504          False  None   0.01929                       
NbxSy   1.0    0.0235366   S      S10_ICSD_38263           False  None   0.02354                       
NbxSy   1.0    0.0287821   S      S7_ICSD_16469            False  None   0.02878                       
NbxSy   1.0    0.0301121   S      S18_ICSD_6002            False  None   0.03011                       
NbxSy   1.0    0.0307008   S      S9_ICSD_404231           False  None   0.0307                        
NbxSy   1.0    0.0879527   S      S8_ICSD_82372            False  None   0.08795                       
NbxSy   0.276  -0.6468336  Nb_S   Nb21S8_ICSD_76568        False  True   0.01056                       
NbxSy   0.5    -1.0343485  Nb_S   Nb1S1_ICSD_76564         False  True   0.09636                       
NbxSy   0.5    -1.0333617  Nb_S   Nb1S1_ICSD_645304        False  True   0.09735                       
NbxSy   0.667  -1.1954136  Nb_S   Nb1S2_ICSD_603911        False  True   0.08678                       
NbxSy   0.667  -1.1922633  Nb_S   Nb1S2_ICSD_645321        False  True   0.08993                       
NbxSy   0.667  -1.1863378  Nb_S   Nb1S2_ICSD_68968         False  True   0.09586                       
NbxSy   0.75   -0.9342418  Nb_S   Nb1S3_ICSD_645316        False  True   0.0274                        
NbxSy   0.75   -0.9148066  Nb_S   Nb1S3_ICSD_656322        False  True   0.04684                       
NbxSy   0.333  -0.7613235  Nb_Se  Nb2Se1_ICSD_26183        False  True   0.01744                       
NbxSy   0.444  -1.0000902  Nb_Se  Nb5Se4_ICSD_76582        False  True   0.0133                        
NbxSy   0.6    -1.2349978  Nb_Se  Nb2Se3_ICSD_660018       False  True   0.05405                       
NbxSy   0.667  -1.195684   Nb_Se  Nb1Se2_ICSD_16305        False  True   0.08651                       
